LocationName,DiabetesRate,FoodAccessScore,State,County,Pop2010,Urban,MedianFamilyIncome,TractSeniorsRate,TractWhiteRate,TractBlackRate,TractAsianRate,TractNHOPIRate,TractAIANRate,TractHispanicRate,PovertyRatePerc,GroupQuarters
6037540700,0.129,0,California,Los Angeles County,3014,1,44527.0,0.051758460517584606,0.20504313205043131,0.37027206370272064,0.0013271400132714001,0.00033178500331785003,0.0072992700729927005,0.6131386861313869,0.221,0.0166
23027045000,0.092,3,Maine,Waldo County,5969,0,56895.0,0.13871670296532082,0.9668286145082928,0.002848048249287988,0.004523370748869157,0.0005025967498743508,0.004690902998827275,0.010554531747361368,0.11800000000000001,0.0
6037920106,0.08900000000000001,0,California,Los Angeles County,3110,0,80893.0,0.05691318327974276,0.6154340836012862,0.03697749196141479,0.022508038585209004,0.0003215434083601286,0.0090032154340836,0.547588424437299,0.07400000000000001,0.0006
23023970301,0.08800000000000001,0,Maine,Sagadahoc County,4574,0,85161.0,0.2186270222999563,0.9584608657630083,0.009838216003498032,0.014210756449497158,0.0,0.0034980323567993005,0.017271534761696544,0.05,0.0171
6067003300,0.102,1,California,Sacramento County,4073,1,115566.0,0.22808740486128162,0.6781242327522711,0.02774367787871348,0.20918242082003438,0.0014731156395777069,0.006137981831573778,0.12104100171863491,0.07,0.0
6079011902,0.091,1,California,San Luis Obispo County,8245,1,95729.0,0.17149787750151607,0.7997574287446938,0.013341419041843541,0.03408126137052759,0.001091570648878108,0.009217707701637356,0.216737416616131,0.065,0.0181
23003951900,0.10400000000000001,0,Maine,Aroostook County,2937,0,74688.0,0.24719101123595505,0.9713993871297242,0.004766768811712632,0.008171603677221655,0.0010214504596527069,0.005447735784814436,0.007831120190670752,0.122,0.0252
6089010805,0.08,2,California,Shasta County,5006,1,69034.0,0.1192568917299241,0.910707151418298,0.008190171793847383,0.019576508190171794,0.0031961646024770275,0.013184178985217739,0.07610866959648421,0.14800000000000002,0.0052
23019000400,0.075,1,Maine,Penobscot County,2364,1,101991.0,0.09686971235194586,0.9475465313028765,0.011421319796954314,0.015228426395939087,0.00042301184433164127,0.008037225042301184,0.017766497461928935,0.127,0.0338
22101041200,0.17600000000000002,1,Louisiana,St. Mary Parish,2160,1,51172.0,0.12824074074074074,0.29305555555555557,0.6712962962962963,0.007407407407407408,0.0,0.010648148148148148,0.008796296296296297,0.223,0.009300000000000001
6099000907,0.102,1,California,Stanislaus County,3200,1,90202.0,0.22125,0.845625,0.0115625,0.0234375,0.0040625,0.010625,0.1740625,0.051,0.008100000000000001
22103041210,0.078,0,Louisiana,St. Tammany Parish,2358,0,93143.0,0.09541984732824428,0.9198473282442748,0.041560644614079725,0.006361323155216285,0.0008481764206955047,0.0021204410517387615,0.05216284987277354,0.046,0.0
6113010512,0.071,1,California,Yolo County,3406,1,166406.0,0.07574867880211392,0.6280093951849677,0.044920728126834994,0.2143276570757487,0.001467997651203758,0.0049911920140927775,0.14591896652965355,0.33299999999999996,0.0038
8001009203,0.066,0,Colorado,Adams County,4222,1,38731.0,0.043107531975367125,0.6387967787778304,0.027238275698720987,0.01586925627664614,0.0016579819990525818,0.01350071056371388,0.6113216485078162,0.231,0.021099999999999997
22103041101,0.1,2,Louisiana,St. Tammany Parish,3824,1,74400.0,0.10564853556485355,0.8030857740585774,0.13415271966527198,0.006014644351464435,0.0010460251046025104,0.006276150627615063,0.04602510460251046,0.151,0.0
8101000300,0.128,2,Colorado,Pueblo County,1332,1,68393.0,0.02252252252252252,0.765015015015015,0.16066066066066065,0.006006006006006006,0.0007507507507507507,0.02702702702702703,0.2695195195195195,0.909,1.0
9001210100,0.09300000000000001,1,Connecticut,Fairfield County,5986,1,42132.0,0.09923154026060808,0.5566321416638824,0.07450718342799867,0.055128633478115606,0.0,0.0053458068827263614,0.45372535917139994,0.27699999999999997,0.0464
9007541200,0.09300000000000001,2,Connecticut,Middlesex County,5190,1,91367.0,0.1653179190751445,0.7448940269749519,0.12485549132947976,0.07610789980732177,0.0001926782273603083,0.002697495183044316,0.06782273603082851,0.132,0.004
10001041600,0.147,2,Delaware,Kent County,2089,1,61765.0,0.22929631402584968,0.794159885112494,0.12972714217328865,0.018669219722355194,0.0004786979415988511,0.008137865007180469,0.052656773575873624,0.159,0.0014000000000000002
23031030100,0.09,2,Maine,York County,4338,1,71198.0,0.15514061779621946,0.9515905947441217,0.004149377593360996,0.015444905486399263,0.0,0.0025357307514983865,0.016828031350852927,0.154,0.0175
12005002703,0.085,2,Florida,Bay County,3166,1,64643.0,0.14939987365761212,0.8875552747946936,0.017687934301958308,0.035691724573594444,0.0006317119393556538,0.003158559696778269,0.06917245735944409,0.06,0.0
12005002705,0.10400000000000001,1,Florida,Bay County,1878,1,63281.0,0.22470713525026625,0.8977635782747604,0.022364217252396165,0.04419595314164004,0.0005324813631522897,0.005324813631522897,0.07454739084132056,0.08199999999999999,0.0021
12011020104,0.102,1,Florida,Broward County,2667,1,58438.0,0.151106111736033,0.6741657292838396,0.2099737532808399,0.04086989126359205,0.0,0.0011248593925759281,0.19647544056992877,0.092,0.0
22109000500,0.138,0,Louisiana,Terrebonne Parish,5825,0,61019.0,0.1646351931330472,0.6684978540772533,0.25871244635193136,0.0020600858369098714,0.0005150214592274678,0.027296137339055795,0.039484978540772535,0.27699999999999997,0.0014000000000000002
12031011800,0.145,2,Florida,Duval County,3121,1,44861.0,0.09227811598846523,0.4690804229413649,0.47132329381608457,0.004806151874399231,0.0006408202499198974,0.0067286126241589235,0.04742069849407241,0.39,0.0429
23019004200,0.1,1,Maine,Penobscot County,2630,1,84471.0,0.1714828897338403,0.9612167300380228,0.006083650190114068,0.009505703422053232,0.0,0.00494296577946768,0.009505703422053232,0.049,0.0403
12071001102,0.135,1,Florida,Lee County,3916,1,28478.0,0.18998978549540346,0.5704800817160368,0.29647599591419815,0.0186414708886619,0.001787538304392237,0.004851889683350358,0.208120531154239,0.31,0.0815
